id,displayName,requiresApproval,permissionKey,argumentCount,source
calendar.create,Create Event,True,NSCalendarsFullAccessUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
calendar.list,List Events,False,NSCalendarsFullAccessUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
reminders.create,Add Reminder,True,NSRemindersFullAccessUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
reminders.list,List Reminders,False,NSRemindersFullAccessUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
contacts.search,Search Contacts,False,NSContactsUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
messages.draft,Draft Message,True,nil,0,ios/Lumen/Models/ToolDefinition.swift
mail.draft,Draft Email,True,nil,0,ios/Lumen/Models/ToolDefinition.swift
phone.call,Start Call,True,nil,0,ios/Lumen/Models/ToolDefinition.swift
location.current,Current Location,False,NSLocationWhenInUseUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
weather,Current Weather,False,NSLocationWhenInUseUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
maps.directions,Get Directions,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
maps.search,Search Nearby,False,NSLocationWhenInUseUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
photos.search,Search Photos,False,NSPhotoLibraryUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
camera.capture,Capture Image,True,NSCameraUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
health.summary,Health Summary,False,NSHealthShareUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
motion.activity,Motion Activity,False,NSMotionUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
web.search,Web Search,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
web.fetch,Fetch URL,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
files.read,Read File,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
memory.save,Save Memory,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
memory.recall,Recall Memory,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
rag.search,Search Personal Data,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
rag.index_files,Reindex Files,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
rag.index_photos,Reindex Photos,False,NSPhotoLibraryUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
trigger.create,Schedule Agent Run,True,nil,0,ios/Lumen/Models/ToolDefinition.swift
trigger.list,List Triggers,False,nil,0,ios/Lumen/Models/ToolDefinition.swift
trigger.cancel,Cancel Trigger,True,nil,0,ios/Lumen/Models/ToolDefinition.swift
alarm.authorization_status,Alarm Auth Status,False,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.request_authorization,Request Alarm Auth,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.schedule,Schedule Alarm,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.countdown,Start Countdown,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.list,List Alarms,False,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.pause,Pause Alarm,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.resume,Resume Alarm,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.stop,Stop Alarm,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.snooze,Snooze Alarm,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
alarm.cancel,Cancel Alarm,True,NSAlarmKitUsageDescription,0,ios/Lumen/Models/ToolDefinition.swift
